date,商业_max_power,大工业用电_max_power,普通工业_max_power,非普工业_max_power,商业_min_power,大工业用电_min_power,普通工业_min_power,非普工业_min_power,weather,max_temp,min_temp,day_wind,night_wind,avg_temp,weather_simple,weather_encoded,day_wind_level,night_wind_level,avg_wind_level,day_of_week,day_of_month,month,is_weekend,is_workday,day_of_week_sin,day_of_week_cos,month_sin,month_cos,temp_diff,is_rainy,is_extreme_weather
2019-01-01,64027.8582,117888.33,6179.9364,2621.3316,23758.797,51526.569,4093.0467,892.5384,,,,,,,,,,,,1,1,1,0,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,,0,0
2019-01-02,75467.2143,126843.7914,10711.9704,2621.3316,20231.6265,63638.4294,3971.5308,892.5384,,,,,,,,,,,,2,2,1,0,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,,0,0
2019-01-03,132776.9442,130286.1294,10079.0262,2621.3316,20443.6182,102048.2754,4033.8369,892.5384,,,,,,,,,,,,3,3,1,0,1,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,,0,0
2019-01-04,97731.1308,133018.6344,9713.3055,2621.3316,19858.1592,104466.0762,4145.8497,892.5384,,,,,,,,,,,,4,4,1,0,1,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,,0,0
2019-01-05,132883.1868,133504.4784,6958.3842,2621.3316,19766.6994,99507.3528,3965.1792,892.5384,,,,,,,,,,,,5,5,1,1,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,,0,0
2019-01-06,95361.0591,128177.277,6327.9399,2621.3316,20706.7386,92752.5162,3865.3926,892.5384,,,,,,,,,,,,6,6,1,1,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,,0,0
2019-01-07,138700.0587,130310.5716,9207.039,2621.3316,19647.5301,103008.1572,3669.0396,892.5384,,,,,,,,,,,,0,7,1,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,,0,0
2019-01-08,138097.8141,129944.3166,9105.5823,2621.3316,19536.6081,95916.0342,3960.378,892.5384,,,,,,,,,,,,1,8,1,0,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,,0,0
2019-01-09,123301.8492,125720.6202,9560.2095,2621.3316,19472.298,99121.317,4016.7975,892.5384,,,,,,,,,,,,2,9,1,0,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,,0,0
2019-01-10,144992.7153,123156.6018,9690.6846,2621.3316,19104.5562,100170.5898,3898.9248,892.5384,,,,,,,,,,,,3,10,1,0,1,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,,0,0
2019-01-11,143797.0083,123400.7388,8421.3138,2621.3316,19187.9259,99387.8736,4021.524,892.5384,,,,,,,,,,,,4,11,1,0,1,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,,0,0
2019-01-12,102870.5328,113420.7912,6113.1345,2621.3316,17073.3141,88231.84800000001,3575.019,892.5384,,,,,,,,,,,,5,12,1,1,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,,0,0
2019-01-13,124603.7418,99806.6688,5908.7964,2621.3316,14190.024,81903.0432,3615.9144,892.5384,,,,,,,,,,,,6,13,1,1,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,,0,0
2019-01-14,122467.491,110242.0782,8404.2153,2621.3316,13924.0773,84833.3448,3624.5088,892.5384,,,,,,,,,,,,0,14,1,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,,0,0
2019-01-15,93672.2991,105242.3346,7951.3584,2621.3316,14393.0619,81276.8538,3513.732,892.5384,,,,,,,,,,,,1,15,1,0,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,,0,0
2019-01-16,115901.9559,102722.628,8757.7587,2621.3316,14880.5883,78212.1468,3980.9811,892.5384,,,,,,,,,,,,2,16,1,0,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,,0,0
2019-01-17,126382.4988,101912.0022,8376.3204,2621.3316,14937.7992,75423.753,4042.4142,892.5384,,,,,,,,,,,,3,17,1,0,1,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,,0,0
